Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,null,null,null,null,null,null
2012-09-01,20.629999,22.959999,20.480000,22.709999,19.077728,1014974000
2012-10-01,22.730000,23.180000,20.969999,21.059999,17.826740,910358000
2012-11-01,21.030001,21.780001,19.870001,21.129999,17.885992,830869400
2012-12-01,21.180000,21.950001,20.260000,20.990000,17.767492,903615300
2013-01-01,21.510000,22.580000,20.680000,22.280001,19.031553,920691600
2013-02-01,22.430000,23.750000,22.270000,23.219999,19.834497,765874500
2013-03-01,23.020000,23.900000,22.850000,23.120001,19.910677,685974800
2013-04-01,23.030001,23.719999,21.110001,22.290001,19.195890,966366600
2013-05-01,22.100000,24.129999,22.100000,23.320000,20.082916,844078200
2013-06-01,23.370001,24.450001,22.760000,23.190001,19.970963,875361100
2013-07-01,23.209999,24.950001,22.760000,24.370001,21.154781,793311300
2013-08-01,24.600000,24.870001,23.040001,23.139999,20.087055,650686500
2013-09-01,23.309999,24.910000,22.920000,23.889999,20.738102,739519300
2013-10-01,23.940001,26.480000,23.500000,26.139999,22.866011,896140000
2013-11-01,26.049999,27.500000,26.030001,26.660000,23.320885,715104400
2013-12-01,26.650000,28.090000,26.200001,28.030001,24.519293,742552100
2014-01-01,27.860001,27.940001,24.900000,25.129999,22.160379,923531400
2014-02-01,25.129999,26.040001,24.320000,25.469999,22.460201,674796000
2014-03-01,25.209999,26.350000,24.920000,25.889999,23.030041,682155500
2014-04-01,25.830000,26.900000,25.430000,26.889999,23.919577,658186900
2014-05-01,26.730000,26.959999,26.150000,26.790001,23.830624,441075100
2014-06-01,26.709999,27.530001,26.200001,26.280001,23.376963,561713900
2014-07-01,26.270000,27.150000,25.150000,25.150000,22.556330,729305700
2014-08-01,25.070000,26.450001,24.750000,25.980000,23.300735,545107600
2014-09-01,25.889999,26.400000,25.299999,25.620001,22.977861,552819100
2014-10-01,25.430000,25.930000,23.690001,25.809999,23.343758,815190300
2014-11-01,25.490000,27.100000,25.480000,26.490000,23.958784,516580000
2014-12-01,26.160000,26.469999,24.059999,25.270000,22.855356,866969500
2015-01-01,25.340000,25.459999,23.410000,23.889999,21.810650,895222400
2015-02-01,24.000000,26.270000,23.900000,25.990000,23.727867,666441000
2015-03-01,25.879999,26.120001,24.670000,24.809999,22.858789,743888200
2015-04-01,24.719999,28.680000,24.570000,27.080000,24.950264,1379653500
2015-05-01,27.090000,27.790001,26.610001,27.270000,25.125320,637198800
2015-06-01,27.260000,27.680000,26.530001,26.570000,24.480368,694947800
2015-07-01,26.670000,27.330000,25.520000,26.100000,24.251881,616874800
2015-08-01,26.120001,26.330000,19.370001,25.010000,23.239063,920487500
2015-09-01,24.240000,26.030001,23.680000,25.219999,23.434191,926132700
2015-10-01,25.150000,29.830000,24.790001,28.920000,27.112690,1479541000
2015-11-01,28.940001,30.990000,28.879999,29.940001,28.068947,3283471700
2015-12-01,29.990000,31.490000,29.770000,31.150000,29.203327,1111454300
2016-01-01,30.549999,30.840000,27.480000,29.100000,27.485495,1152304100
2016-02-01,29.010000,29.610001,27.100000,29.139999,27.523273,854864400
2016-03-01,29.410000,32.049999,29.309999,31.790001,30.266628,732573300
2016-04-01,31.500000,32.020000,30.309999,30.750000,29.276464,644846700
2016-05-01,30.639999,30.990000,29.059999,30.230000,28.781382,607095500
2016-06-01,30.040001,31.500000,29.170000,31.480000,29.971481,865467100
2016-07-01,31.480000,33.000000,31.080000,31.139999,29.872377,767519000
2016-08-01,31.120001,31.570000,31.000000,31.240000,29.968309,537074500
2016-09-01,31.150000,31.450001,29.400000,29.620001,28.414253,737125700
2016-10-01,29.459999,29.750000,28.330000,29.100000,28.133289,693235300
2016-11-01,29.000000,31.490000,28.190001,30.760000,29.738144,711533400
2016-12-01,30.639999,32.380001,30.620001,31.600000,30.550238,636835400
2017-01-01,31.670000,31.840000,29.500000,29.700001,28.929451,659779000
2017-02-01,29.730000,30.590000,29.260000,29.809999,29.036594,527106300
2017-03-01,29.980000,30.430000,29.250000,29.799999,29.258375,693741700
2017-04-01,29.760000,30.540001,28.930000,28.990000,28.463097,575104600
2017-05-01,29.010000,29.309999,27.100000,27.379999,26.882357,755161700
2017-06-01,27.510000,29.469999,26.790001,27.010000,26.519083,968458300
2017-07-01,27.160000,27.590000,25.260000,25.610001,25.356646,813963600
2017-08-01,25.629999,25.889999,24.150000,24.549999,24.307131,688416300
2017-09-01,24.600000,25.299999,23.580000,24.180000,23.940792,962374600
2017-10-01,24.219999,24.889999,20.639999,20.790001,20.790001,1612921100
2017-10-27,21.260000,21.299999,20.639999,20.790001,20.790001,98534637
