Current,impVola,hisVola,Delta,GAMMA,RHO,THETA,VEGA,lastSettle,thisSettle,High,Low,Symbol,K
0.0228,0.2286,0.183,-0.09%,0.77%,-0.06%,-0.07%,0.21%,0.0344,0.0228,0.0344,0.0216,10001382,2.25
0.0314,0.2242,0.183,-0.14%,1.04%,-0.09%,-0.09%,0.28%,0.0465,0.0314,0.0455,0.0296,10001376,2.3
0.0432,0.2218,0.183,-0.21%,1.31%,-0.13%,-0.11%,0.35%,0.0627,0.0436,0.0595,0.041,10001368,2.35
0.0583,0.22,0.183,-0.28%,1.55%,-0.18%,-0.13%,0.42%,0.0834,0.0583,0.0784,0.0559,10001358,2.4
0.0769,0.2184,0.183,-0.37%,1.73%,-0.24%,-0.14%,0.46%,0.1064,0.0771,0.1008,0.0747,10001312,2.45
0.0992,0.2171,0.183,-0.46%,1.82%,-0.30%,-0.14%,0.49%,0.1332,0.0992,0.1298,0.0962,10001282,2.5
0.1253,0.216,0.183,-0.55%,1.82%,-0.36%,-0.13%,0.49%,0.1631,0.1267,0.1603,0.1233,10001276,2.55
0.1575,0.2203,0.183,-0.63%,1.73%,-0.42%,-0.11%,0.46%,0.1975,0.1576,0.1946,0.1538,10001244,2.6
0.1921,0.223,0.183,-0.71%,1.57%,-0.47%,-0.09%,0.42%,0.2341,0.1921,0.2318,0.1877,10001245,2.65
0.228,0.2221,0.183,-0.78%,1.36%,-0.53%,-0.06%,0.37%,0.2756,0.23,0.2717,0.2251,10001246,2.7
0.2679,0.2248,0.183,-0.84%,1.13%,-0.57%,-0.03%,0.30%,0.3169,0.2705,0.315,0.265,10001234,2.75
0.3111,0.2315,0.183,-0.88%,0.91%,-0.61%,-0.01%,0.24%,0.3611,0.3128,0.3545,0.3088,10001232,2.8
0.3576,0.2447,0.183,-0.92%,0.70%,-0.64%,0.02%,0.19%,0.4097,0.3576,0.3981,0.3507,10001230,2.85
0.397,0.2279,0.183,-0.94%,0.52%,-0.67%,0.04%,0.14%,0.459,0.405,0.445,0.397,10001220,2.9
0.4452,0.2406,0.183,-0.96%,0.37%,-0.69%,0.06%,0.10%,0.509,0.455,0.4906,0.4435,10001221,2.95
0.4947,0.2583,0.183,-0.98%,0.26%,-0.71%,0.07%,0.07%,0.559,0.505,0.5433,0.4931,10001222,3
0.5899,0.2699,0.183,-0.99%,0.12%,-0.74%,0.09%,0.03%,0.659,0.605,0.6433,0.5896,10001223,3.1
0.6879,0.2922,0.183,-1.00%,0.05%,-0.77%,0.10%,0.01%,0.759,0.705,0.7433,0.685,10001224,3.2
0.786,0.3119,0.183,-1.00%,0.02%,-0.80%,0.10%,0.00%,0.859,0.805,0.8251,0.7846,10001225,3.3
0.8877,0.3589,0.183,-1.00%,0.01%,-0.82%,0.11%,0.00%,0.959,0.905,0.9208,0.8869,10001226,3.4
0.9883,0.3961,0.183,-1.00%,0.00%,-0.85%,0.11%,0.00%,1.059,1.005,1.0222,0.9824,10001227,3.5
1.0868,0.4165,0.183,-1.00%,0.00%,-0.87%,0.12%,0.00%,1.159,1.105,1.1213,1.0847,10001228,3.6
